ID, Erzekeny, Beteg, Gyogyult
1,9988,8,4
2,9981,13,6
3,9976,14,10
4,9966,20,14
5,9963,16,21
6,9960,13,27
7,9957,13,30
8,9951,18,31
9,9948,18,34
10,9940,21,39
11,9932,20,48
12,9929,18,53
13,9924,17,59
14,9915,20,65
15,9909,23,68
16,9905,20,75
17,9897,20,83
18,9889,23,88
19,9880,23,97
20,9876,20,104
21,9871,22,107
22,9860,24,116
23,9844,30,126
24,9835,29,136
25,9828,24,148
26,9821,23,156
27,9811,27,162
28,9806,27,167
29,9793,31,176
30,9782,35,183
31,9770,38,192
32,9760,37,203
33,9752,35,213
34,9740,39,221
35,9731,36,233
36,9719,40,241
37,9697,52,251
38,9682,46,272
39,9669,48,283
40,9650,51,299
41,9635,55,310
42,9617,51,332
43,9601,59,340
44,9588,57,355
45,9574,52,374
46,9558,51,391
47,9546,43,411
48,9530,45,425
49,9518,40,442
50,9501,47,452
